0,Atlanta,33.7489924,-84.3902644,0
1,Boston,42.3554334,-71.060511,0
2,Buenos-Aires,-34.6075682,-58.4370894,0
3,Chicago,41.8755616,-87.6244212,0
4,Copenhagen,55.6867243,12.5700724,0
5,Dallas,32.7762719,-96.7968559,0
6,Delhi,28.6517178,77.2219388,0
7,Denver,39.7392364,-104.984862,0
8,Hamburg,53.550341,10.000654,0
9,Helsinki,60.1674881,24.9427473,0
10,Houston,29.7589382,-95.3676974,0
11,Kansas-City,39.100105,-94.5781416,0
12,Las-Vegas,36.1672559,-115.148516,0
13,Los-Angeles,34.0536909,-118.242766,0
14,Miami,25.7741728,-80.19362,0
15,Minneapolis,44.9772995,-93.2654692,0
16,Muscat,23.61515,58.5912467,0
17,Newark,40.735657,-74.1723667,0
18,Philadelphia,39.9527237,-75.1635262,0
19,Phoenix,33.4484367,-112.074141,0
20,Portland,45.5202471,-122.674194,0
21,Seattle,47.6038321,-122.330062,0
22,Taipei,25.0375198,121.5636796,0
23,Warsaw,52.2319581,21.0067249,0
24,Perth,-31.9558964,115.8605801,0
25,Santiago,-33.4377756,-70.6504502,0
26,Lima,-12.0621065,-77.0365256,0
27,Lagos,6.4550575,3.3941795,0
28,Kolkata,22.5726723,88.3638815,0
29,Bangkok,13.7524938,100.4935089,0
30,Querétaro,20.5927744,-100.3902245,0
31,Amsterdam,52.3727598,4.8936041,0
32,Athens,37.9839412,23.7283052,0
33,Auckland,-36.852095,174.7631803,0
34,Bengaluru,12.9767936,77.590082,0
35,Berlin,52.5170365,13.3888599,0
36,Bogotá,4.6534649,-74.0836453,0
37,Brisbane,-27.4689682,153.0234991,0
38,Brussels,50.8465573,4.351697,0
39,Chennai,13.0836939,80.270186,0
40,Hanoi,21.0294498,105.8544441,0
41,Johannesburg,-26.205,28.049722,0
42,Lisbon,38.7077507,-9.1365919,0
43,Manila,14.5948914,120.9782618,0
44,Munich,48.1371079,11.5753822,0
45,Nairobi,-1.2832533,36.8172449,0
